Utterance,Cluster,lemmatized_queries
επιθυμώ να ενημερωθώ για τον τρόπο που μπορεί να γίνει αίτηση,2,επιθυμώ ενημερώνω τρόπος που γίνομαι αίτηση
θέλω να αποκτήσω επιπλέον λεπτά ομιλίας για να μιλάω με φίλους,2,θέλω αποκτώ επιπλέον λεπτό ομιλία μιλάω φίλος
οδηγίες για hotspot παρακαλώ,0,οδηγία hotspot παρακαλώ
να μάθω πληροφορίες,6,μαμαίνω πληροφορία
αγορά προγράμματος μηνυμάτων,6,αγορά πρόγραμμα μήνυμα
θέλω να συνδεθώ με το τμήμα πωλήσεων,2,θέλω συνδένω τμήμα πώληση
πώς να ενεργοποιήσω το tethering μέσω του κινητού μου,5,πώς ενεργοποιώ tethering μέσω κινητός
να γίνει ενεργοποίηση,4,γίνομαι ενεργοποίηση
θα ήθελα να διακανονίσω το ποσό που σας χρωστάω,6,διακανονίζω ποσό που χρωστώ
επιθυμώ να απενεργοποιήσω,4,επιθυμώ απενεργοποιώ
πώς μπορώ να δω μια ανάλυση όλων των κλήσεων και μηνυμάτων,6,πώς μπορώ ανάλυση κλήση μήνυμα
να δηλώσω το σταθερό μου ως απόρρητο,4,δηλώνω σταθερός ως απόρρητο
θέλω βοήθεια,1,θέλω βοήθεια
θα ήθελα να μιλήσω με το τμήμα που κάνει διακανονισμούς,4,μιλώ τμήμα που διακανονισμός
θα μπορούσα να έχω πρόσβαση στην ανάλυση λογαριασμού σταθερού,2,έχω πρόσβαση σε ο ανάλυση λογαριασμός σταθερός
πώς ανοίγει το hotspot,0,πώς ανοίγω hotspot
θέλω υπηρεσίες,1,θέλω υπηρεσία
ενημερώστε με για την ανάλυση κλήσεων,4,ενημερώνω ανάλυση κλήση
είχαμε μιλήσει για ένα ραντεβού,1,μιλώ ραντέβος
θα ήθελα να καταχωρήσω αίτηση,1,καταχωρώ αίτηση
θέλω να προσθέσω λεπτά ομιλίας,2,θέλω προσθέτω λεπτό ομιλία
κάτι δεν πάει καλά με το hotspot,0,κάτι δεν πηγαίνω καλά hotspot
θέλω να αποπληρώσω το σταθερό μου,2,θέλω αποπληρώνω σταθερός
πώς μπορώ να καταχωρήσω αίτηση,6,πώς μπορώ καταχωρώ αίτηση
θέλω να κάνω εξόφληση λογαριασμού,2,θέλω κάνω εξόφληση λογαριασμός
θα ήθελα να καταχωρήσω αίτημα,1,καταχωρώ αίτημα
θέλω να ενημερωθώ για διακανονισμό,2,θέλω ενημερώνω διακανονισμός
χρόνο για να τα λέω,1,χρόνος
ανάλυση εισερχόμενων μηνυμάτων,4,ανάλυση εισερχόμενος μήνυμα
βγήκε επιδότηση για το τηλέφωνό μου,4,βγίσκω επιδότηση τήλεφος ό
να κάνω εξόφληση λογαριασμού για το τηλέφωνό μου,4,κάνω εξόφληση λογαριασμός τήλεφος ό
πώς μπορώ να κάνω διακανονισμό σταθερής τηλεφωνίας,2,πώς μπορώ κάνω διακανονισμός σταθερής τηλεφωνία
πόσα χρήματα χρωστάω τελικά,4,χρήμα χρωστώ τελικά
αγορά προγράμματος με χρόνο ομιλίας,4,αγορά πρόγραμμα χρόνος ομιλία
έχω επιδότηση,1,έχω επιδότηση
άμεση πραγματοποίηση ανανέωσης,2,άμεσος πραγματοποίηση ανανέωση
επιθυμώ να βάλω χρόνο ομιλίας,4,επιθυμώ βάγω χρόνος ομιλία
να μπορώ να κάνω βιντεοκλήση,4,μπορώ κάνω βιντεοκλήση
πληροφορίες για ένα ραντεβού,6,πληροφορία ραντέβος
θέλω να μάθω πόσα χρήματα οφείλω,2,θέλω μαμαίνω χρήμα οφείλω
θέλω ενεργοποίηση,4,θέλω ενεργοποίηση
απόκρυψη,1,απόκρυψη
θέλω να κάνω εξόφληση παραστατικού του σταθερού μου,2,θέλω κάνω εξόφληση παράστατικός σταθερός
θα ήθελα ένα νέο tablet,3,νέος tablet
επιθυμώ να κάνω αίτημα,4,επιθυμώ κάνω αίτημα
θέλω να κάνω ενεργοποίηση προγράμματος ομιλίας,2,θέλω κάνω ενεργοποίηση πρόγραμμα ομιλία
θέλω να μου βάλετε λεπτά ομιλίας στο καρτοκινητό μου,2,θέλω βάνω λεπτό ομιλία καρτοκινητό
θέλω να γίνει αποπληρωμή λογαριασμού του κινητού μου,2,θέλω γίνομαι αποπληρωμή λογαριασμός κινητός
θέλω να απενεργοποιήσω,4,θέλω απενεργοποιώ
από πού βλέπω τα υπόλοιπα,6,από πού βλέπω υπόλοιπος
να μου κάνετε ενεργοποίηση,4,ενεργοποίηση
επιθυμώ να βάλω λεπτά ομιλίας,4,επιθυμώ βάγω λεπτό ομιλία
περιμένω τον συνάδελφό σας να έρθει για το ραντεβού που έχουμε,6,περιμένω συνάδελφος έρχομαι ραντέβος που
θέλω να ενημερωθώ για τον τρόπο που μπορεί να γίνει αίτηση,2,θέλω ενημερώνω τρόπος που γίνομαι αίτηση
πότε έχει προγραμματιστεί το νέο ραντεβού,6,πότε προγραμματίζω νέος ραντέβος
να κάνω εξόφληση λογαριασμού για το σταθερό μου,4,κάνω εξόφληση λογαριασμός σταθερός
