Utterance,Cluster,processed_queries
χρόνο για να τα λέω,,χρόνος λέως
ανάλυση εισερχόμενων μηνυμάτων,,ανάλυση εισερχόμενος μηνυμάτο
βγήκε επιδότηση για το τηλέφωνό μου,,βγήκε επιδότηση τηλέφωνό
να κάνω εξόφληση λογαριασμού για το τηλέφωνό μου,,εξόφληση λογαριασμός τηλέφωνό
πώς μπορώ να κάνω διακανονισμό σταθερής τηλεφωνίας,,πώς μπορώ διακανονισμός σταθερής τηλεφωνία
πόσα χρήματα χρωστάω τελικά,,πόσος χρήμα χρωστάω τελικά
αγορά προγράμματος με χρόνο ομιλίας,,αγορά πρόγραμμα χρόνος ομιλία
έχω επιδότηση,,επιδότηση
άμεση πραγματοποίηση ανανέωσης,,άμεσος πραγματοποίηση ανανέωση
επιθυμώ να βάλω χρόνο ομιλίας,,επιθυμώ βάλω χρόνος ομιλία
να μπορώ να κάνω βιντεοκλήση,,μπορώ βιντεοκλήση
πληροφορίες για ένα ραντεβού,,πληροφορία ένας ραντεβού
θέλω να μάθω πόσα χρήματα οφείλω,,μάθω πόσος χρήμα οφείλω
θέλω ενεργοποίηση,,ενεργοποίηση
απόκρυψη,,απόκρυψη
θέλω να κάνω εξόφληση παραστατικού του σταθερού μου,,εξόφληση παραστατικός σταθερού
θα ήθελα ένα νέο tablet,,ένας νέος tablet
επιθυμώ να κάνω αίτημα,,επιθυμώ αίτημα
θέλω να κάνω ενεργοποίηση προγράμματος ομιλίας,,ενεργοποίηση πρόγραμμα ομιλία
θέλω να μου βάλετε λεπτά ομιλίας στο καρτοκινητό μου,,βάλετε λεπτό ομιλία σε ο καρτοκινητό
θέλω να γίνει αποπληρωμή λογαριασμού του κινητού μου,,γίνομαι αποπληρωμή λογαριασμός κινητού
θέλω να απενεργοποιήσω,,απενεργοποιώ
από πού βλέπω τα υπόλοιπα,,από πού βλέπω υπόλοιπος
να μου κάνετε ενεργοποίηση,,ενεργοποίηση
επιθυμώ να βάλω λεπτά ομιλίας,,επιθυμώ βάλω λεπτό ομιλία
περιμένω τον συνάδελφό σας να έρθει για το ραντεβού που έχουμε,,περιμένω συνάδελφος έρθει ραντεβού
θέλω να ενημερωθώ για τον τρόπο που μπορεί να γίνει αίτηση,,ενημερωθώ τρόπος μπορώ γίνομαι αίτηση
πότε έχει προγραμματιστεί το νέο ραντεβού,,πότε προγραμματίζω νέος ραντεβού
να κάνω εξόφληση λογαριασμού για το σταθερό μου,,εξόφληση λογαριασμός σταθερός
